"date","home","away","time","period","etype","team","player","result","points","type","x","y"
"1",20081028,"LAL","POR","12:00",1,"jump ball","OFF","","",0,"",NA,NA
"2",20081028,"LAL","POR","11:39",1,"shot","LAL","Pau Gasol","missed",0,"hook",23,13
"3",20081028,"LAL","POR","11:37",1,"rebound","LAL","Vladimir Radmanovic","",0,"off",NA,NA
"4",20081028,"LAL","POR","11:25",1,"shot","LAL","Derek Fisher","missed",0,"layup",25,6
"5",20081028,"LAL","POR","11:23",1,"rebound","LAL","Pau Gasol","",0,"off",NA,NA
"6",20081028,"LAL","POR","11:22",1,"shot","LAL","Pau Gasol","made",2,"hook",25,10
"7",20081028,"LAL","POR","11:22",1,"foul","POR","Greg Oden","",0,"shooting",NA,NA
"8",20081028,"LAL","POR","11:22",1,"free throw","LAL","Pau Gasol","made",1,"",NA,NA
"9",20081028,"LAL","POR","11:00",1,"foul","LAL","Vladimir Radmanovic","",0,"personal",NA,NA
"10",20081028,"LAL","POR","10:53",1,"shot","POR","LaMarcus Aldridge","made",2,"jump",36,21
"11",20081028,"LAL","POR","10:45",1,"shot","LAL","Derek Fisher","made",2,"pullup jump",30,21
"12",20081028,"LAL","POR","10:32",1,"shot","POR","LaMarcus Aldridge","missed",0,"jump",34,10
"13",20081028,"LAL","POR","10:31",1,"rebound","LAL","Kobe Bryant","",0,"def",NA,NA
"14",20081028,"LAL","POR","10:21",1,"shot","LAL","Pau Gasol","made",2,"jump",15,17
"15",20081028,"LAL","POR","10:04",1,"shot","POR","Travis Outlaw","made",2,"jump",46,9
"16",20081028,"LAL","POR","09:50",1,"shot","LAL","Andrew Bynum","missed",0,"jump",21,10
"17",20081028,"LAL","POR","09:48",1,"rebound","LAL","Kobe Bryant","",0,"off",NA,NA
"18",20081028,"LAL","POR","09:41",1,"shot","LAL","Pau Gasol","made",2,"jump",39,9
"19",20081028,"LAL","POR","09:24",1,"shot","POR","Brandon Roy","missed",0,"driving layup",25,6
"20",20081028,"LAL","POR","09:21",1,"rebound","POR","Greg Oden","",0,"off",NA,NA
"21",20081028,"LAL","POR","09:20",1,"shot","POR","Greg Oden","missed",0,"layup",25,6
"22",20081028,"LAL","POR","09:20",1,"rebound","POR","Greg Oden","",0,"off",NA,NA
"23",20081028,"LAL","POR","09:20",1,"foul","LAL","Andrew Bynum","",0,"personal",NA,NA
"24",20081028,"LAL","POR","09:11",1,"shot","POR","Greg Oden","missed",0,"jump",20,9
"25",20081028,"LAL","POR","09:09",1,"rebound","LAL","Vladimir Radmanovic","",0,"def",NA,NA
"26",20081028,"LAL","POR","09:04",1,"foul","POR","Steve Blake","",0,"personal",NA,NA
